Name,Games Played,Team,League,Position,Season,Age,Goals,Assists,Points,+/-,PIM,EV Goals,PP Goals,SH Goals,GW Goals,Shots,S%,TOI,Goals Per Game,Assists Per Game,Points Per Game,Shots Per Game,OPS,DPS,Point Shares
Sebastian Aho,82,CAR,NHL,RW,2016-17,19,24,25,49,-1,26,17,6,1,4,214,11.2,1377,0.29,0.3,0.6,2.61,4.2,1.8,5.9
Karl Alzner,82,WSH,NHL,D,2016-17,28,3,10,13,23,28,3,0,0,0,81,3.7,1623,0.04,0.12,0.16,0.99,-0.3,4.8,4.6
Cam Atkinson,82,CBJ,NHL,RW,2016-17,27,35,27,62,13,22,22,10,3,9,240,14.6,1483,0.43,0.33,0.76,2.93,6.8,2,8.9
Nicklas Backstrom,82,WSH,NHL,C,2016-17,29,23,63,86,17,38,15,8,0,5,162,14.2,1497,0.28,0.77,1.05,1.98,7.8,2.1,9.9
Josh Bailey,82,NYI,NHL,RW,2016-17,27,13,43,56,5,12,10,3,0,1,173,7.5,1506,0.16,0.52,0.68,2.11,3.6,1.6,5.2
Pierre-Edouard Bellemare,82,PHI,NHL,LW,2016-17,31,4,4,8,-1,20,4,0,0,0,90,4.4,1064,0.05,0.05,0.1,1.1,-1.7,1.3,-0.4
Patrik Berglund,82,STL,NHL,C,2016-17,28,23,11,34,-7,32,19,4,0,5,153,15,1311,0.28,0.13,0.41,1.87,2.6,1.3,3.9
T.J. Brodie,82,CGY,NHL,D,2016-17,26,6,30,36,-16,24,4,1,1,2,78,7.7,1934,0.07,0.37,0.44,0.95,2.1,3.1,5.3
Connor Brown,82,TOR,NHL,RW,2016-17,23,20,16,36,3,10,17,2,1,4,139,14.4,1329,0.24,0.2,0.44,1.7,2.6,1.4,4
Brent Burns,82,SJS,NHL,D,2016-17,31,29,47,76,19,40,21,8,0,6,320,9.1,2039,0.35,0.57,0.93,3.9,8.9,6.4,15.3
Brandon Carlo,82,BOS,NHL,D,2016-17,20,6,10,16,9,59,5,0,1,0,88,6.8,1707,0.07,0.12,0.2,1.07,0.4,4.8,5.2
Jeff Carter,82,LAK,NHL,C,2016-17,32,32,34,66,2,41,21,10,1,9,250,12.8,1479,0.39,0.41,0.8,3.05,6.7,2.3,9
Jason Chimera,82,NYI,NHL,LW,2016-17,37,20,13,33,1,40,19,0,1,2,121,16.5,1071,0.24,0.16,0.4,1.48,3,1,4
Andrew Cogliano,82,ANA,NHL,LW,2016-17,29,16,19,35,11,26,13,0,3,2,178,9,1241,0.2,0.23,0.43,2.17,2.2,1.9,4.2
Charlie Coyle,82,MIN,NHL,C,2016-17,24,18,38,56,13,36,14,4,0,5,159,11.3,1370,0.22,0.46,0.68,1.94,4.4,1.7,6.1
Phillip Danault,82,MTL,NHL,LW,2016-17,23,13,27,40,5,35,13,0,0,3,133,9.8,1278,0.16,0.33,0.49,1.62,2.3,1.7,3.9
